1,1
2,1
3,1
4,1
5,1
6,3
7,2
8,1
9,1
10,1
11,4
12,1
13,1
14,1
15,1
16,2
17,1
18,1
19,1
20,1
21,1
22,2
23,2
24,1
25,1
26,1
27,1
28,1
29,3
30,2
31,2
32,1
33,2
34,1
35,1
36,1
37,2
38,2
39,3
40,3
41,4
42,1
43,2
44,3
45,2
46,2
47,2
48,3
49,2
50,1
51,1
52,1
53,2
54,2
55,1
56,1
57,1
58,1
59,2
60,2
61,2
62,2
63,2
64,1
65,1
66,1
67,1
68,2
69,1
70,1
71,4
72,3
73,1
74,3
75,2
76,1
77,2
78,2
79,1
80,1
81,1
82,2
83,2
84,2
85,1
86,2
87,1
88,1
89,1
90,2
91,2
92,4
93,1
94,2
95,2
96,2
97,2
98,1
99,1
100,1
101,1
102,3
103,3
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,5
112,1
113,1
114,2
115,2
116,2
117,2
118,2
119,1
120,1
121,2
122,2
123,1
124,1
125,1
126,1
127,1
128,1
129,2
130,2
131,1
132,2
133,1
134,1
135,4
136,2
137,3
138,1
139,3
140,1
141,2
142,1
143,1
144,2
145,4
146,1
147,2
148,2
149,2
150,2
151,2
152,1
153,2
154,1
155,2
156,3
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,2
166,2
167,1
168,1
169,1
170,2
171,2
172,2
173,1
174,1
175,1
176,2
177,1
178,1
179,1
180,3
181,1
182,1
183,1
184,1
185,2
186,1
187,1
188,1
189,1
190,1
191,2
192,3
193,1
194,2
195,1
196,2
197,1
198,1
